id,name,link,author_id,author_name,translator,year,language,content_language,cover,paper_format,number_of_pages,weight,barcode,book_price_uzs,ebook_price_uzs,audio_price_uzs,has_discount,discount_pct,rating,rate_count,views_count,amount_in_stock,total_sold,is_available,is_available_ebook,is_available_audio,is_available_podcast,label,state,type,genres,tags,img_url,description
69f03f21e7ae26e03e9de82b,Erkatoy alifbo 2,erkatoy-alifbo-2,,,,2026,uz,latin,paper,A5,64,0,978-9910-8237-2-5,15000,0,0,False,,5,0,24,35,0,True,False,False,False,simple,old,single,Bolalar adabiyoti,Эркатой алифбо 2; Эркатой алифбо; Erkatoy alifbo 2; Erkatoy Alifbo,img/img-file-df318d13d659b38124af6118d69bb0cd.jpg,"Mazkur qo'llanma ""Erkatoy alifbo"" kitobining mantiqiy davomi sifatida yaratilgan bo'lib, unda bolalarning savod chiqarish jarayonini yanada samarali tashkil etishga xizmat qiladigan turli xil qiziqarli materiallar jamlangan. Ushbu nashr o'quvchilarning o'zlashtirish darajasini oshirish, ularning fikrlash doirasini kengaytirish hamda badiiy-estetik didini shakllantirishga alohida e'tibor qaratiladi. Kitobda bolalar uchun sevimli bo'lgan she'rlar, ertaklar, matallar, topishmoqlar va turli didaktik o'yin topshiriqlari joy olgan. Bu materiallar nafaqat o'qish va yozish ko'nikmalarini mustahkamlashga, balki ularning mantiqiy tafakkuri, tasavvuri va nutq madaniyatini rivojlantirishga ham xizmat qiladi."
69eef015e7ae26e03e9dc9b2,Risolai Qushayriya,risolai-qushayriya,,,"Abu Muslim, Sharif Odilbek",2026,uz,cyrillic,hardcover,A5,592,0,978-9910-601-50-7,100000,0,0,False,,5,0,162,2376,0,True,False,False,False,simple,old,single,Diniy adabiyotlar,Рисолаи Қушайрия; Risolai Qushayriya; Ruhiy tarbiya; Руҳий тарбия,img/img-file-8918ee12bcbf7af13fdecffd455a2ebd.jpg,"Ushbu asar tasavvuf ilmidagi eng mashhur va ishonchli manbalardan biri bo'lib, u buyuk mutasavvif, orif olim Imom Abul Qosim Abdulkarim ibn Havozin ibn Abdulmalik ibn Talha ibn Muhammad an-Nishopuriy al-Qushayriy qalamiga mansubdir. Asar tasavvuf ilmining asosiy tushunchalari, ahli tariqatning odob-axloqi, ruhiy tarbiya usullari va qalb poklanishining yo'llarini mukammal tarzda bayon qiladi. Muallif so'fiylikni bid'at yoki havoyi nafsga berilgan yo'l emas, balki Qur'on va sunnatga asoslangan ma'naviy tarbiya maktabi sifatida asoslab tushuntiradi. Kitobda tavba, sabr, shukr, ixlos, taqvo, tavakkul, zikr, muhabbat, ma'rifatulloh kabi muhim maqom va hollar keng sharhlanadi. Shuningdek, ilk so'fiy zotlarning qisqacha tarjimai hollari keltirilgan bo'lib, ularning hikmatli so'zlari ibratli hayot yo'llari o'quvchiga ruhiy ozuqa beradi."
69ec62c3e7ae26e03e9db0c5,Qo'rquv vodiysi,qorquv-vodiysi-1,,,O'tkirbek Muhammadsobir,2025,uz,latin,hardcover,A5,144,0,978-9910-8239-1-6,38000,0,0,False,,5,0,82,49,0,True,False,False,False,simple,old,single,Detektiv adabiyotlar; Jahon adabiyoti,Қўрқув водийси; Qo'rquv vodiysi; Artur Konan Doyl; Артур Конан Дойл; Шерлок Ҳолмс; Sherlok Holms; Sherlok Homs,img/img-file-feab5d45e89e0bc95eeffbadc27887d3.jpg,"Asar voqealari dastlab Angliyada, sirli qotillik bilan boshlanadi. Sherlok Holms va uning sodiq hamrohi doktor Vatsonga shubhali xat orqali kelgan ogohlantirish butun sarguzashtlarning kalitiga aylanadi. Holms tergov davomida jinoyat ortida turgan murakkab kuchlar, fitnalar va qasosga asoslangan o'tmish voqealar izini topadi. Roman ikkinchi qismida o'quvchini Amerikaga, Pensilvaniya shtatidagi qo'rquv va vahima hukmron bo'lgan vodiyga olib boradi. Bu yerdagi yashirin uyushmalar, zo'ravonlik va shafqatsizlik tasvirlanadi. Asarning o'ziga xosligi shundaki, unda nafaqat jinoyat sirini ochish, balki insoniy jur'at va adolat uchun kurashning keskin sahnalari ham o'rin olgan. Ushbu asar nafaqat detektiv adabiyot ixlosmandlari, balki inson ruhiyati, jasorat va haqiqat izlanishlari bilan qiziqadigan barcha kitobxonlar uchun qiziqarli asar."
69eb4552e7ae26e03e9da2d2,Arosat,arosat,,,Damin Jumaqul,2026,uz,cyrillic,paper,A5,220,0,978-9910-8106-3-3,55000,0,0,False,,5,0,200,33,0,True,False,False,False,simple,old,single,Badiiy adabiyotlar,Аросат; Arosat,img/img-file-06200dbcfdadcdf8649e6f2af23e0746.jpg,"Bu kitob sizga nafaqat yo'lingizni, balki o'zingizni topishga yordam beradi. Tashqi dunyodan uzilib, ichki haqiqatingiz bilan yuzlashmoqchi bo'lsangiz, demak, bu kitob sizni to'g'ri topibdi. Ushbu asarda tasvirlangan voqealar badiiy to'qima mahsuli bo'lib, ular hech qanday diniy yoki ilmiy qarashlarni ifoda etmaydi. Joy nomlari, asar qahramonlarining ism-sharifi ham mutlaqo tasodifiydir."
69eb4357e7ae26e03e9da20e,Devona,devona,,,Avazxon Umar,2026,uz,cyrillic,paper,A5,204,0,978-9910-8876-0-4,57000,0,0,False,,5,0,210,34,0,True,False,False,False,simple,old,single,Badiiy adabiyotlar; Romantik,devona; Девона; fotih duman,img/img-file-6ce4a169e6ca1c5d7f78a77880def83b.jpg,"""Sevish — kutish demakdir."" Bu oddiy ko'ringan jumla ""Devona"" asarining butun falsafiy og'irligini o'zida mujassam etadi. Fotih Duman bu asarida sevgini harakatda emas, balki sabr va intizorda — ya'ni kutishning o'zida izlaydi. Asarning asosiy g'oyasi shundan iboratki, haqiqiy sevgi — bu erishish yoki yo'qotish emas, balki sevgilini kutib yashashning o'zi. Kutish — zaiflik belgisi emas, aksincha, u ishqning eng chuqur, eng sofdagi holati. Devona — aql bilan emas, qalb bilan yashovchi inson; u kutayotgani uchun emas, kutishga dosh berayotgani uchun devona. Muallif uslubi jihatidan asar Fotih Dumanning boshqa asarlariga — ""Men"", ""Sir"", ""Dam"" — xos xususiyatlarni davom ettiradi: tasavvufiy ruh, qisqa lekin og'ir jumlalar, ichki monolog usuli. Har bir sahifa o'quvchini tashqi voqeadan ko'ra ichki holatga — o'z kutishlariga, o'z ""devonalik""lariga — yuzlashtiradi."
69eb4111e7ae26e03e9da16f,Hayot qadri,hayot-qadri-1,,,Dilobar Olimova,2025,uz,latin,paper,A5,216,0,978-9910-8142-8-0,72000,0,0,False,,5,0,76,80,0,True,False,False,False,simple,old,single,Badiiy adabiyotlar; Romantik,Hayot qadri; Ҳаёт қадри,img/img-file-0e120b55c0ef4bef10bd573559ac7353.jpg,"1958-yil. O‘n yetti yoshli Lendon yoshlik yillaridan zavq olib yashaydi. Qizlar bilan uchrashadi, hatto sevib qolganman deb o‘ylaydi. U qayerga bormasin, qo‘lida Muqaddas kitob ko‘tarib yuradigan, beva otasiga g‘amxo‘rlik qiladigan va bolalar uyida ko‘ngilli tadbirlar uyushtiradigan ruhoniyning qizi uyatchan va odamovi Jeymi Sallivandan tamomila farq qiladi. Ammo taqdir ularni uchrashtirishga ahd gilgan. Bitiruv kechasi raqsida majburan juft bo‘lgan Lendon va Jeymi dunyoni larzaga soluvchi muhabbat va azobli yo‘qotish safariga chiqadi. Keyingi oylarda Lendon shundayin hayratlanarli qaror qabul qiladiki, bu uni muqarrar ravishda insoniylik yo‘liga boshlaydi..."
69eb3f06e7ae26e03e9da01d,Yo'qotilgan timsol,yoqotilgan-timsol,,,Miraziz Mirsobitov,2026,uz,cyrillic,hardcover,A5,688,0,978-9910-257-06-3,90000,0,0,False,,5,0,168,32,0,True,False,False,False,simple,old,single,Badiiy adabiyotlar; Jahon adabiyoti; Fantastika; Sarguzasht,Yo'qotilgan timsol; Йўқотилган тимсол; Den Braun; Ден Браун,img/img-file-4a1b423d3042bbc353e92be316b6dad0.jpg,"Afsonaviy ""Da Vinchi siri"" asari muallifining qo'lingizdagi mazkur kitobida voqealar zanjiri, ya'ni Robert Lengdonning sarguzashtlari davom etadi. Bu safar u dunyoni o'zgartirishga qodir bo'lgan odamlarning eng buyuk sirini yechishi talab etiladi. Aziz kitobxon! Taqdim etilayotgan kitob orqali endi siz bilan asrlar davomida saqlangan sirlar, jumboqli belgilar va ramzlar... va o'tmish labirintlari bo'ylab o'ta xavfli sayohatga otlanamiz."
69eb04d4e7ae26e03e9d9517,Iblisnoma,iblisnoma,,,"Dilfuza Sobirova, Dilorom Abdurahmon, Qodir Mirmuhammedov, Dostonjon Tojiyev",2026,uz,latin,hardcover,A5,160,0,978-9910-601-60-6,28000,0,0,False,,5,0,238,1844,0,True,False,False,False,simple,old,single,Badiiy adabiyotlar; Jahon adabiyoti,Иблиснома; Iblisnoma,img/img-file-ec8c281ae067d32606c4ed900ae87fed.jpg,"Mazkur asar rus adabiyotining yirik namoyandasi Mixail Bulgakov qalamiga mansub satirik-fantastik qissa bo‘lib, unda byurokratik tizim, ma’muriy tartibsizlik va inson ruhiy holatining izdan chiqishi o‘tkir kinoya hamda grotesk uslubda tasvirlangan. Asarda oddiy xizmatchi Korotkov boshidan kechirgan g‘ayrioddiy voqealar orqali totalitar tuzumning absurd jihatlari, shaxsiylikning yo‘qolishi va insonning tizim ichida ojiz qolishi badiiy ifoda etiladi. Muallif real voqelik bilan fantaziyani uyg‘unlashtirib, jamiyatdagi ma’naviy tanazzulni ochib beradi. Asar keng kitobxonlar ommasi, ayniqsa badiiy adabiyot ixlosmandlari va XX asr rus adabiyotiga qiziquvchilar uchun mo‘ljallangan."
69eb037fe7ae26e03e9d948f,Yashik odam,yashik-odam-1,,,Sulaymon Rahmon,2026,uz,latin,hardcover,A5,208,0,978-9910-601-40-8,32000,0,0,False,,5,0,158,2145,0,True,False,False,False,simple,old,single,Badiiy adabiyotlar; Jahon adabiyoti,Yashik odam; Яшик одам,img/img-file-4100d9d2b5fd9dda20d5d40e3636e527.jpg,"Kobo Abening ""Yashik-odam"" asari zamonaviy insonning begonalashuvi, shaxsiyatning yemirilishi va jamiyatdan ixtiyoriy chekinishi muammolarini ramziy-falsafiy yo‘sinda yoritadi. ""Quti"" obrazida inson o‘zini tashqi olamdan ajratib, erkinlik va yolg‘izlik orasida qoladi, “yashik-odam"" esa begonalikning yanada g‘ayritabiiy, absurd shaklini ifodalaydi. Asar inson ""men""ining chegaralari, ijtimoiy niqob va ichki bo‘shliq haqida o‘tkir savollar qo‘yadi. Asarning asosiy g‘oyasi ziddiyatlarni ko’rsatish orqali jamiyatning inson shaxsiga dushmanligini badiiy tadqiq etishdan iborat. Romandagi yetakchi g‘oyalardan yana biri insonni yolg‘izlik va mahdudlikdan go‘zal hayotgina qutqarishi mumkinligini ko‘rsatishdir. Kitob o‘quvchini ekzistensial tafakkur, zamonaviy ong inqirozi va o‘zlikni anglash masalasida chuqur mulohazaga undaydi."
69eaf944e7ae26e03e9d931a,Muvaffaqiyat badali,muvaffaqiyat-badali,,,Azizova Shodiya O'tkir qizi,2026,uz,cyrillic,paper,A5,192,0,978-99108641-5-5,35000,0,0,False,,5,0,62,32,0,True,False,False,False,simple,old,single,Psixologiya; Biznes adabiyotlar; Nobadiiy,Muvaffaqiyat badali; Муваффақият бадали,img/img-file-c05d26ed3285e07bbb011f92ad62b093.jpg,"Orzu-maqsadlarga yetmoq osonmi? Yo‘q, oson emas! Avvalo, inson o‘z oldiga qanday maqsad qo‘yishni bilishi lozim. Ana shundan keyingina maqsad sari olg‘a borib, muvaffaqiyat qozonish uchun sa’y-harakat qilsa arziydi. Albatta, darrov yutuqqa erishaman, marraga yetaman deb o‘ylamang. Chunki har yutuqning badali bo‘ladi. Ushbu kitobda buning qanday badal ekani, uni qanday to‘lash mumkinligi borasida so‘z yuritiladi. Kitobdagi ilhomlantiruvchi fikrlar va hayotiy misollar orqali o‘quvchi inson o‘z salohiyatini qanday kashf qilishi, maqsad sari qanday qadam tashlashi kerakligini anglaydi. Ushbu kitob ulkan orzulari bo‘lgan, maqsadi sari ishonch bilan qadam tashlashni istovchilar uchun chinakam ilhom manbayi bo‘la oladi."
